"","Name","Disaster","Begin Date","End Date","Total CPI-Adjusted Cost (Millions of Dollars)","Deaths","state"
"92","Numerous Wildfires (2006)","Wildfire",20060101,20061231,1907.2,28,"AZ"
"93","Western Wildfires (Summer 2007)","Wildfire",20070601,20070831,3481.4,12,"AZ"
"94","Western/Eastern Drought/Heatwave (Summer-Fall 2007)","Drought",20070601,20071130,4493.7,15,"AZ"
"95","U.S. Wildfires (Fall 2008)","Wildfire",20080901,20081130,1505.5,16,"AZ"
"96","Western Wildfires (Summer-Fall 2009)","Wildfire",20090601,20091130,1234.4,10,"AZ"
"97","Arizona Severe Weather (October 2010)","Severe Storm",20101005,20101006,4522,0,"AZ"
"98","Texas, New Mexico, Arizona Wildfires (Summer-Fall 2011)","Wildfire",20110601,20111130,2130.3,5,"AZ"
"99","Western Wildfires (Summer-Fall 2012)","Wildfire",20120601,20121130,1964.6,8,"AZ"
"100","U.S. Drought/Heatwave (2012)","Drought",20120101,20121231,33903.9,123,"AZ"
"101","Western/Plains Drought/Heatwave (Spring-Fall 2013)","Drought",20130301,20131130,11677.1,53,"AZ"
"102","Western Drought (2014)","Drought",20140101,20141231,4367.3,0,"AZ"
"103","Western Drought (2015)","Drought",20150101,20151231,4912.6,0,"AZ"
"104","Western/Southeast Wildfires (Summer-Fall 2016)","Wildfire",20160601,20161231,2610.8,21,"AZ"
"105","Western Wildfires, California Firestorm (Summer-Fall 2017)","Wildfire",20170601,20171231,18725.2,54,"AZ"
"106","Southwest/Southern Plains Drought (Summer-Fall 2018)","Drought",20180601,20181230,3049.8,0,"AZ"
"107","Southern Severe Storms and Flooding (April 1980)","Flooding",19800410,19800417,2339.4,7,"AR"
"108","Central/Eastern Drought/Heatwave (Summer-Fall 1980)","Drought",19800601,19801130,33166.2,1260,"AR"
"109","Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)","Winter Storm",19820108,19820116,1807.5,85,"AR"
"110","Midwest/Plains/Southeast Tornadoes (April 1982)","Severe Storm",19820402,19820404,1319.3,33,"AR"
"111","Gulf States Storms and Flooding (December 1982-January 1983)","Flooding",19821201,19830115,4193.5,45,"AR"
"112","Southeast Drought (Summer 1983)","Drought",19830601,19830831,7795.5,0,"AR"
"113","Freeze, Cold Wave (December 1983)","Freeze",19831215,19831225,5275.3,151,"AR"
"114","Tornadoes, Severe Storms, Floods (Spring 1984)","Severe Storm",19840327,19840407,1519.7,80,"AR"
"115","Winter Storm, Cold Wave (January 1985)","Winter Storm",19850119,19850122,2042,150,"AR"
"116","Southeast Drought/Heatwave (Summer 1986)","Drought",19860601,19860831,4238.6,100,"AR"
"117","U.S. Drought/Heatwave (Summer 1988)","Drought",19880601,19880831,44408.3,454,"AR"
"118","Winter Storm, Cold Wave (December 1989)","Winter Storm",19891221,19891226,1441.8,100,"AR"
"119","Southern Flooding (May 1990)","Flooding",19900511,19900519,2034,13,"AR"
