"","Name","Disaster","Begin Date","End Date","Total CPI-Adjusted Cost (Millions of Dollars)","Deaths","state"
"1153","Numerous Wildfires (2006)","Wildfire",20060101,20061231,1907.2,28,"MT"
"1154","Western Wildfires (Summer 2007)","Wildfire",20070601,20070831,3481.4,12,"MT"
"1155","U.S. Wildfires (Fall 2008)","Wildfire",20080901,20081130,1505.5,16,"MT"
"1156","U.S. Drought (2008)","Drought",20080101,20081231,8551.9,0,"MT"
"1157","Missouri River flooding (May-June 2011)","Flooding",20110501,20110630,2342.6,5,"MT"
"1158","Texas, New Mexico, Arizona Wildfires (Summer-Fall 2011)","Wildfire",20110601,20111130,2130.3,5,"MT"
"1159","Western Wildfires (Summer-Fall 2012)","Wildfire",20120601,20121130,1964.6,8,"MT"
"1160","U.S. Drought/Heatwave (2012)","Drought",20120101,20121231,33903.9,123,"MT"
"1161","Rockies/Midwest/Eastern Severe Weather (May 2014)","Severe Storm",20140518,20140523,4084.6,0,"MT"
"1162","Western and Alaskan Wildfires (Summer-Fall 2015)","Wildfire",20150601,20151130,3330.8,12,"MT"
"1163","Western Drought (2015)","Drought",20150101,20151231,4912.6,0,"MT"
"1164","Rockies/Central Tornadoes and Severe Weather (May 2016)","Severe Storm",20160521,20160526,1249.4,0,"MT"
"1165","North Dakota, South Dakota and Montana Drought (Spring-Fall 2017)","Drought",20170301,20171231,2600,0,"MT"
"1166","Western Wildfires, California Firestorm (Summer-Fall 2017)","Wildfire",20170601,20171231,18725.2,54,"MT"
"1167","Western Wildfires, California Firestorm (Summer-Fall 2018)","Wildfire",20180601,20181231,24480,106,"MT"
"1168","Central/Eastern Drought/Heatwave (Summer-Fall 1980)","Drought",19800601,19801130,33166.2,1260,"NE"
"1169","Midwest/Plains/Southeast Tornadoes (April 1982)","Severe Storm",19820402,19820404,1319.3,33,"NE"
"1170","Freeze, Cold Wave (December 1983)","Freeze",19831215,19831225,5275.3,151,"NE"
"1171","U.S. Drought/Heatwave (Summer 1988)","Drought",19880601,19880831,44408.3,454,"NE"
"1172","Northern Plains Drought (Summer-Fall 1989)","Drought",19890601,19891130,6366.6,0,"NE"
"1173","Northern Plains and Ohio Valley Severe Weather (July 1993)","Severe Storm",19930708,19930710,1146.3,1,"NE"
"1174","Midwest Flooding (Summer 1993)","Flooding",19930627,19930815,37729.7,48,"NE"
"1175","Midwest/Plains Tornadoes (April 1994)","Severe Storm",19940425,19940427,1733.7,3,"NE"
"1176","Oklahoma and Kansas Tornadoes (May 1999)","Severe Storm",19990503,19990506,3159.1,55,"NE"
"1177","Western/Central/Southeast Drought/Heatwave (Spring-Fall 2000)","Drought",20000301,20001130,7595.6,140,"NE"
"1178","Midwest/Ohio Valley Hail and Tornadoes (April 2001)","Severe Storm",20010406,20010411,4549.5,3,"NE"
"1179","U.S. Drought (Spring-Fall 2002)","Drought",20020301,20021130,13045.6,0,"NE"
"1180","Severe Storms/Tornadoes (May 2003)","Severe Storm",20030503,20030510,5862.2,51,"NE"
"1181","Western/Central Drought/Heatwave (Spring-Fall 2003)","Drought",20030301,20031130,7095.1,35,"NE"
"1182","Severe Storms, Hail, Tornadoes (May 2004)","Severe Storm",20040521,20040527,1409.1,4,"NE"
"1183","Midwest/Southeast Tornadoes (April 6-8, 2006)","Severe Storm",20060406,20060408,2084.9,10,"NE"
"1184","Midwest/Plains/Southeast Drought (Spring-Summer 2006)","Drought",20060301,20060831,7797.3,0,"NE"
"1185","Spring Freeze (April 2007)","Freeze",20070404,20070410,2596.1,0,"NE"
"1186","Midwest Tornadoes and Severe Weather (May 2008)","Severe Storm",20080522,20080527,3695.9,13,"NE"
"1187","Midwest/Mid-Atlantic Severe Weather (June 2008)","Severe Storm",20080606,20080612,1995.7,18,"NE"
"1188","Midwest Flooding (Summer 2008)","Flooding",20080401,20080630,12149.3,24,"NE"
"1189","Midwest/Southeast Tornadoes (March 2009)","Severe Storm",20090325,20090328,2001.4,0,"NE"
"1190","Midwest, South and East Severe Weather (June 2009)","Severe Storm",20090609,20090612,1620.3,0,"NE"
"1191","Midwest/Southeast Tornadoes and Severe Weather (June 2011)","Severe Storm",20110618,20110622,1798.6,3,"NE"
"1192","Missouri River flooding (May-June 2011)","Flooding",20110501,20110630,2342.6,5,"NE"
"1193","Midwest/Southeast Severe Weather (August 2011)","Severe Storm",20110817,20110818,1347.1,0,"NE"
"1194","Midwest Tornadoes (April 2012)","Severe Storm",20120413,20120414,1269.7,6,"NE"
"1195","Western Wildfires (Summer-Fall 2012)","Wildfire",20120601,20121130,1964.6,8,"NE"
"1196","U.S. Drought/Heatwave (2012)","Drought",20120101,20121231,33903.9,123,"NE"
"1197","Midwest/Plains Severe Weather (April 2013)","Severe Storm",20130407,20130411,1617.2,1,"NE"
"1198","Western/Plains Drought/Heatwave (Spring-Fall 2013)","Drought",20130301,20131130,11677.1,53,"NE"
"1199","Rockies/Central Plains Severe Weather (June 2014)","Severe Storm",20140603,20140605,2111.2,2,"NE"
"1200","Southern Plains Tornadoes (May 2015)","Severe Storm",20150506,20150510,1399.3,4,"NE"
"1201","Plains Tornadoes and Central Severe Weather (May 2016)","Severe Storm",20160508,20160511,1874.5,2,"NE"
"1202","Midwest Tornado Outbreak (March 2017)","Severe Storm",20170306,20170308,2306.6,2,"NE"
"1203","Midwest Severe Weather (June 2017)","Severe Storm",20170612,20170616,1599.6,0,"NE"
"1204","Midwest Severe Weather (June 2017)","Severe Storm",20170627,20170629,1510.5,0,"NE"
"1205","Central and Northeastern Severe Weather (May 2018)","Severe Storm",20180501,20180504,1432,0,"NE"
"1206","Rockies and Plains Hail Storms (August 2018)","Severe Storm",20180806,20180807,1045.5,0,"NE"
"1207","Western Severe Storms and Flooding (February 1986)","Severe Storm",19860214,19860216,1245,13,"NV"
"1208","Northern Plains Drought (Summer-Fall 1989)","Drought",19890601,19891130,6366.6,0,"NV"
"1209","Western Fire Season (Summer-Fall 1994)","Wildfire",19940601,19941130,1276,0,"NV"
"1210","West Coast Flooding (December 1996-January 1997)","Flooding",19970101,19970111,4887.5,36,"NV"
"1211","Western Fire Season (Fall 2002)","Wildfire",20020901,20021130,1918.1,21,"NV"
"1212","Numerous Wildfires (2006)","Wildfire",20060101,20061231,1907.2,28,"NV"
"1213","Western Wildfires (Summer 2007)","Wildfire",20070601,20070831,3481.4,12,"NV"
"1214","Western/Eastern Drought/Heatwave (Summer-Fall 2007)","Drought",20070601,20071130,4493.7,15,"NV"
"1215","U.S. Wildfires (Fall 2008)","Wildfire",20080901,20081130,1505.5,16,"NV"
"1216","Texas, New Mexico, Arizona Wildfires (Summer-Fall 2011)","Wildfire",20110601,20111130,2130.3,5,"NV"
"1217","Western Wildfires (Summer-Fall 2012)","Wildfire",20120601,20121130,1964.6,8,"NV"
"1218","U.S. Drought/Heatwave (2012)","Drought",20120101,20121231,33903.9,123,"NV"
"1219","Western/Plains Drought/Heatwave (Spring-Fall 2013)","Drought",20130301,20131130,11677.1,53,"NV"
"1220","Western Drought (2014)","Drought",20140101,20141231,4367.3,0,"NV"
"1221","Western Drought (2015)","Drought",20150101,20151231,4912.6,0,"NV"
"1222","Western/Southeast Wildfires (Summer-Fall 2016)","Wildfire",20160601,20161231,2610.8,21,"NV"
"1223","Western Wildfires, California Firestorm (Summer-Fall 2017)","Wildfire",20170601,20171231,18725.2,54,"NV"
"1224","Southwest/Southern Plains Drought (Summer-Fall 2018)","Drought",20180601,20181230,3049.8,0,"NV"
"1225","Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)","Winter Storm",19820108,19820116,1807.5,85,"NH"
"1226","Hurricane Gloria (September 1985)","Tropical Cyclone",19850926,19850928,2089.1,11,"NH"
"1227","Winter Storm, Cold Wave (December 1989)","Winter Storm",19891221,19891226,1441.8,100,"NH"
"1228","East Coast Blizzard and Severe Weather (March 1993)","Winter Storm",19930311,19930314,9948.6,270,"NH"
"1229","Winter Storm, Cold Wave (January 1994)","Winter Storm",19940117,19940120,1830.3,70,"NH"
"1230","Mississippi and Ohio Valley Severe Weather and Flooding (March 1997)","Severe Storm",19970228,19970305,1583.4,67,"NH"
"1231","Northeast Ice Storm (January 1998)","Winter Storm",19980105,19980109,2228.8,16,"NH"
"1232","Severe Storms, Tornadoes (June 1998)","Severe Storm",19980530,19980602,1810.2,20,"NH"
"1233","Central and Eastern Winter Storm (Mid-January 1999)","Winter Storm",19990113,19990116,1384.6,0,"NH"
"1234","Hurricane Floyd (September 1999)","Tropical Cyclone",19990914,19990916,10190.8,77,"NH"
"1235","East/South Severe Weather and Flooding (April 2007)","Severe Storm",20070413,20070417,3185,9,"NH"
"1236","Hurricane Irene (August 2011)","Tropical Cyclone",20110826,20110828,15787.9,45,"NH"
"1237","Hurricane Sandy (October 2012)","Tropical Cyclone",20121030,20121031,73494.6,159,"NH"
"1238","Central and Eastern Winter storm, Cold Wave (February 2015)","Winter Storm",20150214,20150220,3258.4,30,"NH"
"1239","West/Northeast/Southeast Drought (2016)","Drought",20160101,20161231,3764.1,0,"NH"
"1240","Central and Eastern Winter Storm (January 2018)","Winter Storm",20180103,20180105,1084.8,22,"NH"
"1241","Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)","Winter Storm",19820108,19820116,1807.5,85,"NJ"
"1242","Freeze, Cold Wave (December 1983)","Freeze",19831215,19831225,5275.3,151,"NJ"
"1243","Tornadoes, Severe Storms, Floods (Spring 1984)","Severe Storm",19840327,19840407,1519.7,80,"NJ"
"1244","Winter Storm, Cold Wave (January 1985)","Winter Storm",19850119,19850122,2042,150,"NJ"
"1245","Hurricane Gloria (September 1985)","Tropical Cyclone",19850926,19850928,2089.1,11,"NJ"
"1246","Northeast Winter Storm (December 1992)","Winter Storm",19921210,19921213,4618.5,19,"NJ"
"1247","East Coast Blizzard and Severe Weather (March 1993)","Winter Storm",19930311,19930314,9948.6,270,"NJ"
"1248","Winter Storm, Cold Wave (January 1994)","Winter Storm",19940117,19940120,1830.3,70,"NJ"
"1249","Southeast Ice Storm (February 1994)","Winter Storm",19940208,19940213,5275.8,9,"NJ"
"1250","Blizzard/Floods (January 1996)","Winter Storm",19960101,19960131,5014.9,187,"NJ"
"1251","Mississippi and Ohio Valley Severe Weather and Flooding (March 1997)","Severe Storm",19970228,19970305,1583.4,67,"NJ"
"1252","Severe Storms, Tornadoes (June 1998)","Severe Storm",19980530,19980602,1810.2,20,"NJ"
"1253","Central and Eastern Winter Storm (January 1999)","Winter Storm",19990101,19990104,1620.7,25,"NJ"
"1254","Central and Eastern Winter Storm (Mid-January 1999)","Winter Storm",19990113,19990116,1384.6,0,"NJ"
"1255","Eastern Drought/Heatwave (Summer 1999)","Drought",19990601,19990831,3923.4,502,"NJ"
"1256","Hurricane Floyd (September 1999)","Tropical Cyclone",19990914,19990916,10190.8,77,"NJ"
"1257","Tropical Storm Allison (June 2001)","Tropical Cyclone",20010605,20010617,12527.4,43,"NJ"
"1258","U.S. Drought (Spring-Fall 2002)","Drought",20020301,20021130,13045.6,0,"NJ"
"1259","Hurricane Isabel (September 2003)","Tropical Cyclone",20030918,20030919,7787.3,55,"NJ"
"1260","Hurricane Ivan (September 2004)","Tropical Cyclone",20040912,20040921,28495.7,57,"NJ"
"1261","Hurricane Jeanne (September 2004)","Tropical Cyclone",20040915,20040929,10420.1,28,"NJ"
"1262","Northeast Flooding (June 2006)","Flooding",20060625,20060628,1978,20,"NJ"
"1263","East/South Severe Weather and Flooding (April 2007)","Severe Storm",20070413,20070417,3185,9,"NJ"
"1264","Western/Eastern Drought/Heatwave (Summer-Fall 2007)","Drought",20070601,20071130,4493.7,15,"NJ"
"1265","Midwest/Mid-Atlantic Severe Weather (June 2008)","Severe Storm",20080606,20080612,1995.7,18,"NJ"
"1266","U.S. Drought (2008)","Drought",20080101,20081231,8551.9,0,"NJ"
"1267","Northeast Flooding (March 2010)","Flooding",20100301,20100331,2194.6,11,"NJ"
"1268","Hurricane Irene (August 2011)","Tropical Cyclone",20110826,20110828,15787.9,45,"NJ"
"1269","Tropical Storm Lee (September 2011)","Tropical Cyclone",20110901,20110905,2939.6,21,"NJ"
"1270","Plains/East/Northeast Severe Weather (June-July 2012)","Severe Storm",20120629,20120702,3264,28,"NJ"
"1271","Hurricane Sandy (October 2012)","Tropical Cyclone",20121030,20121031,73494.6,159,"NJ"
"1272","U.S. Drought/Heatwave (2012)","Drought",20120101,20121231,33903.9,123,"NJ"
"1273","Midwest/Southeast/Northeast Winter Storm (January 2014)","Winter Storm",20140105,20140108,2390,16,"NJ"
"1274","Midwest/Southeast/Northeast Tornadoes and Flooding (April 2014)","Severe Storm",20140427,20140501,1909.9,33,"NJ"
"1275","Central and Eastern Winter storm, Cold Wave (February 2015)","Winter Storm",20150214,20150220,3258.4,30,"NJ"
"1276","Central and Northeast Severe Weather (June 2015)","Severe Storm",20150621,20150625,1289.1,1,"NJ"
"1277","South Carolina and East Coast Flooding (October 2015)","Flooding",20151001,20151005,2198,25,"NJ"
"1278","Southeast and Eastern Tornadoes (February 2016)","Severe Storm",20160222,20160224,1133.6,10,"NJ"
"1279","Rockies and Northeast Severe Weather (July 2016)","Severe Storm",20160728,20160730,1597.6,0,"NJ"
"1280","Central and Eastern Winter Storm (January 2018)","Winter Storm",20180103,20180105,1084.8,22,"NJ"
"1281","Northeast Winter Storm (March 2018)","Winter Storm",20180301,20180303,2259.9,9,"NJ"
"1282","Southern and Eastern Tornadoes and Severe Weather (April 2018)","Severe Storm",20180413,20180416,1357.8,3,"NJ"
"1283","Central and Eastern Severe Weather (May 2018)","Severe Storm",20180513,20180515,1411.1,5,"NJ"
"1284","Western Fire Season (Summer-Fall 1994)","Wildfire",19940601,19941130,1276,0,"NM"
"1285","Southern Plains Drought (Spring-Summer 1996)","Drought",19960301,19960831,2991.7,0,"NM"
"1286","Western Fire Season (Spring-Summer 2000)","Wildfire",20000301,20000831,1634,0,"NM"
"1287","Western/Central/Southeast Drought/Heatwave (Spring-Fall 2000)","Drought",20000301,20001130,7595.6,140,"NM"
"1288","U.S. Drought (Spring-Fall 2002)","Drought",20020301,20021130,13045.6,0,"NM"
"1289","Western Fire Season (Fall 2002)","Wildfire",20020901,20021130,1918.1,21,"NM"
"1290","Western/Central Drought/Heatwave (Spring-Fall 2003)","Drought",20030301,20031130,7095.1,35,"NM"
"1291","Midwest/Plains/Southeast Drought (Spring-Summer 2006)","Drought",20060301,20060831,7797.3,0,"NM"
"1292","Numerous Wildfires (2006)","Wildfire",20060101,20061231,1907.2,28,"NM"
"1293","Hurricane Dolly (July 2008)","Tropical Cyclone",20080723,20080725,1546.1,3,"NM"
"1294","U.S. Wildfires (Fall 2008)","Wildfire",20080901,20081130,1505.5,16,"NM"
"1295","U.S. Drought (2008)","Drought",20080101,20081231,8551.9,0,"NM"
"1296","Western Wildfires (Summer-Fall 2009)","Wildfire",20090601,20091130,1234.4,10,"NM"
"1297","Southwest/Great Plains Drought (2009)","Drought",20090101,20091231,4260.3,0,"NM"
"1298","Rockies/Central/East Severe Weather (June 2010)","Severe Storm",20100610,20100615,1072.3,2,"NM"
"1299","Southern Plains/Southwest Drought & Heat Wave (Spring-Summer 2011)","Drought",20110301,20110831,14044.5,95,"NM"
"1300","Texas, New Mexico, Arizona Wildfires (Summer-Fall 2011)","Wildfire",20110601,20111130,2130.3,5,"NM"
"1301","Rockies/Southwest Severe Weather (June 2012)","Severe Storm",20120606,20120612,2935.5,0,"NM"
"1302","Western Wildfires (Summer-Fall 2012)","Wildfire",20120601,20121130,1964.6,8,"NM"
"1303","U.S. Drought/Heatwave (2012)","Drought",20120101,20121231,33903.9,123,"NM"
"1304","Western/Plains Drought/Heatwave (Spring-Fall 2013)","Drought",20130301,20131130,11677.1,53,"NM"
"1305","Western Drought (2014)","Drought",20140101,20141231,4367.3,0,"NM"
"1306","Texas Tornadoes and Midwest Flooding (December 2015)","Severe Storm",20151226,20151229,2158.2,50,"NM"
"1307","Colorado Hail Storm and Central Severe Weather (May 2017)","Severe Storm",20170508,20170511,3551,0,"NM"
"1308","Central and Northeastern Severe Weather (May 2018)","Severe Storm",20180501,20180504,1432,0,"NM"
"1309","Southwest/Southern Plains Drought (Summer-Fall 2018)","Drought",20180601,20181230,3049.8,0,"NM"
"1310","Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)","Winter Storm",19820108,19820116,1807.5,85,"NY"
"1311","Freeze, Cold Wave (December 1983)","Freeze",19831215,19831225,5275.3,151,"NY"
"1312","Tornadoes, Severe Storms, Floods (Spring 1984)","Severe Storm",19840327,19840407,1519.7,80,"NY"
"1313","Winter Storm, Cold Wave (January 1985)","Winter Storm",19850119,19850122,2042,150,"NY"
"1314","Hurricane Gloria (September 1985)","Tropical Cyclone",19850926,19850928,2089.1,11,"NY"
"1315","Winter Storm, Cold Wave (December 1989)","Winter Storm",19891221,19891226,1441.8,100,"NY"
"1316","Severe Storms, Tornadoes (March 1991)","Severe Storm",19910326,19910329,1231.9,0,"NY"
"1317","Hurricane Bob (August 1991)","Tropical Cyclone",19910818,19910820,2870.5,18,"NY"
"1318","Northeast Winter Storm (December 1992)","Winter Storm",19921210,19921213,4618.5,19,"NY"
"1319","East Coast Blizzard and Severe Weather (March 1993)","Winter Storm",19930311,19930314,9948.6,270,"NY"
"1320","Winter Storm, Cold Wave (January 1994)","Winter Storm",19940117,19940120,1830.3,70,"NY"
"1321","Southeast Ice Storm (February 1994)","Winter Storm",19940208,19940213,5275.8,9,"NY"
"1322","Blizzard/Floods (January 1996)","Winter Storm",19960101,19960131,5014.9,187,"NY"
"1323","Mississippi and Ohio Valley Severe Weather and Flooding (March 1997)","Severe Storm",19970228,19970305,1583.4,67,"NY"
"1324","Northeast Ice Storm (January 1998)","Winter Storm",19980105,19980109,2228.8,16,"NY"
"1325","Severe Storms, Tornadoes (June 1998)","Severe Storm",19980530,19980602,1810.2,20,"NY"
"1326","Central and Eastern Winter Storm (January 1999)","Winter Storm",19990101,19990104,1620.7,25,"NY"
"1327","Central and Eastern Winter Storm (Mid-January 1999)","Winter Storm",19990113,19990116,1384.6,0,"NY"
"1328","Hurricane Floyd (September 1999)","Tropical Cyclone",19990914,19990916,10190.8,77,"NY"
"1329","Severe Storms and Tornadoes (April 2002)","Severe Storm",20020427,20020428,3036.2,7,"NY"
"1330","U.S. Drought (Spring-Fall 2002)","Drought",20020301,20021130,13045.6,0,"NY"
"1331","Severe Storms/Hail (April 2003)","Severe Storm",20030404,20030407,2849,3,"NY"
"1332","Severe Weather (July 2003)","Severe Storm",20030721,20030723,1431.6,7,"NY"
"1333","Hurricane Isabel (September 2003)","Tropical Cyclone",20030918,20030919,7787.3,55,"NY"
"1334","Severe Storms, Hail, Tornadoes (May 2004)","Severe Storm",20040521,20040527,1409.1,4,"NY"
"1335","Hurricane Frances (September 2004)","Tropical Cyclone",20040903,20040909,13622.1,48,"NY"
"1336","Hurricane Ivan (September 2004)","Tropical Cyclone",20040912,20040921,28495.7,57,"NY"
"1337","Hurricane Jeanne (September 2004)","Tropical Cyclone",20040915,20040929,10420.1,28,"NY"
"1338","Northeast Flooding (June 2006)","Flooding",20060625,20060628,1978,20,"NY"
"1339","East/South Severe Weather and Flooding (April 2007)","Severe Storm",20070413,20070417,3185,9,"NY"
"1340","Western/Eastern Drought/Heatwave (Summer-Fall 2007)","Drought",20070601,20071130,4493.7,15,"NY"
"1341","Western, Central and Northeast Severe Weather (January 2008)","Severe Storm",20080104,20080109,1198,12,"NY"
"1342","Midwest/Mid-Atlantic Severe Weather (June 2008)","Severe Storm",20080606,20080612,1995.7,18,"NY"
"1343","Northeast Flooding (March 2010)","Flooding",20100301,20100331,2194.6,11,"NY"
"1344","Midwest/Northeast Severe Storms and Flooding (July 2010)","Severe Storm",20100720,20100723,1128.5,0,"NY"
"1345","Groundhog Day Blizzard (February 2011)","Winter Storm",20110201,20110203,2099.1,36,"NY"
"1346","Hurricane Irene (August 2011)","Tropical Cyclone",20110826,20110828,15787.9,45,"NY"
"1347","Tropical Storm Lee (September 2011)","Tropical Cyclone",20110901,20110905,2939.6,21,"NY"
"1348","Southern Plains/Midwest/Northeast Severe Weather (May 2012)","Severe Storm",20120525,20120530,2603.2,1,"NY"
"1349","Hurricane Sandy (October 2012)","Tropical Cyclone",20121030,20121031,73494.6,159,"NY"
"1350","U.S. Drought/Heatwave (2012)","Drought",20120101,20121231,33903.9,123,"NY"
"1351","Midwest/Plains/East Tornadoes (May 2013)","Severe Storm",20130518,20130522,2688.2,27,"NY"
"1352","Midwest/Plains/Northeast Tornadoes (May 2013)","Severe Storm",20130527,20130531,2031,10,"NY"
"1353","Midwest/Southeast/Northeast Winter Storm (January 2014)","Winter Storm",20140105,20140108,2390,16,"NY"
"1354","Midwest/Southeast/Northeast Tornadoes and Flooding (April 2014)","Severe Storm",20140427,20140501,1909.9,33,"NY"
"1355","Rockies/Midwest/Eastern Severe Weather (May 2014)","Severe Storm",20140518,20140523,4084.6,0,"NY"
"1356","Michigan and Northeast Flooding (August 2014)","Flooding",20140811,20140813,1134.9,2,"NY"
"1357","Central and Eastern Winter storm, Cold Wave (February 2015)","Winter Storm",20150214,20150220,3258.4,30,"NY"
"1358","Central and Northeast Severe Weather (June 2015)","Severe Storm",20150621,20150625,1289.1,1,"NY"
"1359","Southeast and Eastern Tornadoes (February 2016)","Severe Storm",20160222,20160224,1133.6,10,"NY"
"1360","Rockies and Northeast Severe Weather (July 2016)","Severe Storm",20160728,20160730,1597.6,0,"NY"
"1361","West/Northeast/Southeast Drought (2016)","Drought",20160101,20161231,3764.1,0,"NY"
"1362","Midwest Tornado Outbreak (March 2017)","Severe Storm",20170306,20170308,2306.6,2,"NY"
"1363","Midwest Severe Weather (June 2017)","Severe Storm",20170612,20170616,1599.6,0,"NY"
"1364","Central and Eastern Winter Storm (January 2018)","Winter Storm",20180103,20180105,1084.8,22,"NY"
"1365","Northeast Winter Storm (March 2018)","Winter Storm",20180301,20180303,2259.9,9,"NY"
"1366","Southern and Eastern Tornadoes and Severe Weather (April 2018)","Severe Storm",20180413,20180416,1357.8,3,"NY"
"1367","Central and Northeastern Severe Weather (May 2018)","Severe Storm",20180501,20180504,1432,0,"NY"
"1368","Central and Eastern Severe Weather (May 2018)","Severe Storm",20180513,20180515,1411.1,5,"NY"
"1369","Central/Eastern Drought/Heatwave (Summer-Fall 1980)","Drought",19800601,19801130,33166.2,1260,"NC"
"1370","Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)","Winter Storm",19820108,19820116,1807.5,85,"NC"
"1371","Southeast Drought (Summer 1983)","Drought",19830601,19830831,7795.5,0,"NC"
"1372","Freeze, Cold Wave (December 1983)","Freeze",19831215,19831225,5275.3,151,"NC"
"1373","Tornadoes, Severe Storms, Floods (Spring 1984)","Severe Storm",19840327,19840407,1519.7,80,"NC"
"1374","Winter Storm, Cold Wave (January 1985)","Winter Storm",19850119,19850122,2042,150,"NC"
"1375","Hurricane Gloria (September 1985)","Tropical Cyclone",19850926,19850928,2089.1,11,"NC"
"1376","Southeast Drought/Heatwave (Summer 1986)","Drought",19860601,19860831,4238.6,100,"NC"
"1377","Severe Storms (May 1989)","Severe Storm",19890501,19890506,1169.1,21,"NC"
"1378","Hurricane Hugo (September 1989)","Tropical Cyclone",19890921,19890922,19079.7,86,"NC"
"1379","Winter Storm, Cold Wave (December 1989)","Winter Storm",19891221,19891226,1441.8,100,"NC"
"1380","Severe Storms, Tornadoes (March 1991)","Severe Storm",19910326,19910329,1231.9,0,"NC"
"1381","Hurricane Bob (August 1991)","Tropical Cyclone",19910818,19910820,2870.5,18,"NC"
"1382","Southeast Severe Weather (November 1992)","Severe Storm",19921121,19921123,1221.8,26,"NC"
"1383","East Coast Blizzard and Severe Weather (March 1993)","Winter Storm",19930311,19930314,9948.6,270,"NC"
"1384","Southeast Drought/Heat Wave (Summer 1993)","Drought",19930601,19930831,2264.4,16,"NC"
"1385","Winter Storm, Cold Wave (January 1994)","Winter Storm",19940117,19940120,1830.3,70,"NC"
"1386","Southeast Ice Storm (February 1994)","Winter Storm",19940208,19940213,5275.8,9,"NC"
"1387","Hurricane Opal (October 1995)","Tropical Cyclone",19951004,19951006,8018.2,27,"NC"
"1388","Blizzard/Floods (January 1996)","Winter Storm",19960101,19960131,5014.9,187,"NC"
"1389","Hurricane Fran (September 1996)","Tropical Cyclone",19960905,19960908,8361.7,37,"NC"
"1390","Mississippi and Ohio Valley Severe Weather and Flooding (March 1997)","Severe Storm",19970228,19970305,1583.4,67,"NC"
"1391","Western/Eastern Severe Weather and Flooding (Winter-Spring 1998)","Severe Storm",19971201,19980228,1627.3,132,"NC"
"1392","Severe Storms, Tornadoes (June 1998)","Severe Storm",19980530,19980602,1810.2,20,"NC"
"1393","Hurricane Bonnie (August 1998)","Tropical Cyclone",19980827,19980829,1558.2,3,"NC"
"1394","Southern Drought/Heat Wave (Summer 1998)","Drought",19980601,19980831,5609.5,200,"NC"
"1395","Central and Eastern Winter Storm (January 1999)","Winter Storm",19990101,19990104,1620.7,25,"NC"
"1396","Oklahoma and Kansas Tornadoes (May 1999)","Severe Storm",19990503,19990506,3159.1,55,"NC"
"1397","Eastern Drought/Heatwave (Summer 1999)","Drought",19990601,19990831,3923.4,502,"NC"
"1398","Hurricane Floyd (September 1999)","Tropical Cyclone",19990914,19990916,10190.8,77,"NC"
"1399","Southeast Winter Storm (January 2000)","Winter Storm",20000121,20000124,1073.1,4,"NC"
"1400","Severe Storms and Tornadoes (April 2002)","Severe Storm",20020427,20020428,3036.2,7,"NC"
"1401","U.S. Drought (Spring-Fall 2002)","Drought",20020301,20021130,13045.6,0,"NC"
"1402","Severe Storms/Tornadoes (May 2003)","Severe Storm",20030503,20030510,5862.2,51,"NC"
"1403","Hurricane Isabel (September 2003)","Tropical Cyclone",20030918,20030919,7787.3,55,"NC"
"1404","Severe Storms, Hail, Tornadoes (May 2004)","Severe Storm",20040521,20040527,1409.1,4,"NC"
"1405","Hurricane Charley (August 2004)","Tropical Cyclone",20040813,20040814,22239.3,35,"NC"
"1406","Hurricane Frances (September 2004)","Tropical Cyclone",20040903,20040909,13622.1,48,"NC"
"1407","Hurricane Ivan (September 2004)","Tropical Cyclone",20040912,20040921,28495.7,57,"NC"
"1408","Hurricane Jeanne (September 2004)","Tropical Cyclone",20040915,20040929,10420.1,28,"NC"
"1409","Southeast Severe Weather (March 2005)","Severe Storm",20050324,20050327,1168,0,"NC"
"1410","Spring Freeze (April 2007)","Freeze",20070404,20070410,2596.1,0,"NC"
"1411","East/South Severe Weather and Flooding (April 2007)","Severe Storm",20070413,20070417,3185,9,"NC"
"1412","Western/Eastern Drought/Heatwave (Summer-Fall 2007)","Drought",20070601,20071130,4493.7,15,"NC"
"1413","U.S. Wildfires (Fall 2008)","Wildfire",20080901,20081130,1505.5,16,"NC"
"1414","U.S. Drought (2008)","Drought",20080101,20081231,8551.9,0,"NC"
"1415","Midwest, South and East Severe Weather (June 2009)","Severe Storm",20090609,20090612,1620.3,0,"NC"
"1416","Southwest/Great Plains Drought (2009)","Drought",20090101,20091231,4260.3,0,"NC"
"1417","Rockies/Central/East Severe Weather (June 2010)","Severe Storm",20100610,20100615,1072.3,2,"NC"
"1418","Midwest/Southeast Tornadoes (April 2011)","Severe Storm",20110404,20110405,3247.1,9,"NC"
"1419","Southeast/Midwest Tornadoes (April 2011)","Severe Storm",20110408,20110411,2549.9,0,"NC"
"1420","Midwest/Southeast Tornadoes (April 2011)","Severe Storm",20110414,20110416,2409.3,38,"NC"
"1421","Midwest/Southeast Tornadoes and Severe Weather (June 2011)","Severe Storm",20110618,20110622,1798.6,3,"NC"
"1422","Hurricane Irene (August 2011)","Tropical Cyclone",20110826,20110828,15787.9,45,"NC"
